kind,id,name,group,review,count,candidate,备注,reason,source
basic-layout,template://journalcollage/layout-two-up,two-up,basic-layout,free,,Free candidate,,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-stacked,stacked,basic-layout,free,,Free candidate,,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-four-grid,four-grid,basic-layout,free,,Free candidate,,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-full-frame,full-frame,basic-layout,free,,Free candidate,,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-wide-split,wide-split,basic-layout,free,,Free candidate,,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-three-columns,three-columns,basic-layout,free,,Free candidate,,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-hero-top,hero-top,basic-layout,free,,Free candidate,,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-hero-left,hero-left,basic-layout,free,,Free candidate,,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-six-grid,six-grid,basic-layout,free,,Free candidate,,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-nine-grid,nine-grid,basic-layout,free,,Free candidate,,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-three-stack,three-stack,basic-layout,free,,Free candidate,,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-heart-frame,heart-frame,basic-layout,free,,Free candidate,分组是shaped layouts,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-circle-frame,circle-frame,basic-layout,free,,Free candidate,分组是shaped layouts,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-star-frame,star-frame,basic-layout,free,,Free candidate,分组是shaped layouts,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
basic-layout,template://journalcollage/layout-heart-mosaic,heart-mosaic,basic-layout,free,,Free candidate,分组是shaped layouts,无固定装饰及网络依赖的基础构图,apps/mobile/src/basicLayouts.ts
material-pack,candy-shapes,Candy Shapes,play-pop,"素材包下拆分free+Premium
免费：五，六，八，九，十，十二，十三，十六，十八，十九，二二，二四，二五，二六。",25,Free candidate,免费占比：14:25,基础纸张/每种风格的试用样本,generated/first-release-product-catalog.v1.json
material-pack,playful-doodles,Playful Doodles,play-pop,"素材包下拆分free+Premium
免费：一，七，八，九，十一，十三，十五，Playful Doodles 1，Playful Doodles 2",21,Premium candidate,免费占比：9:21,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,soft-archive-blue,Soft archive blue,soft-archive,"素材包下拆分free+Premium
免费：一，五，四，七，八，十，十一，十八，二十，二一，二四，二五，三十，三一，三二，三三，三四，三五",49,Free candidate,18:49,基础纸张/每种风格的试用样本,generated/first-release-product-catalog.v1.json
material-pack,jiaodai,Jiaodai,soft-archive,"素材包下拆分free+Premium
免费：一，四，十七，十八，二二，二五，二九，三四，三六，三七，三九，四一，四二。
",42,Premium candidate,"Group：Visual Foundation
免费占比：13:42",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,editorial-everyday-labels,Editorial everyday labels,visual-foundation,"素材包下拆分free+Premium
免费：2，3，4，10，12，14，18，21",24,Free candidate,8:24,基础纸张/每种风格的试用样本,generated/first-release-product-catalog.v1.json
material-pack,romantic-deco-lace-frame-1,Romantic Deco lace frame 1,romantic-deco,"素材包下拆分free+Premium
免费：1，5，6，8
",12,Premium candidate,"一些图需后续更新高清图重新上传
4:12",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,hudiejie,Hudiejie,romantic-deco,"素材包下拆分free+Premium
免费：四，五，十，十九，二一",24,Premium candidate,5:24,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,essential-lace-trims,Essential lace trims,romantic-deco,"素材包下拆分free+Premium
免费：1，2，7，8，13",16,Free candidate,5:17,基础纸张/每种风格的试用样本,generated/first-release-product-catalog.v1.json
material-pack,decorative-statement-lace,Decorative statement lace,romantic-deco,"素材包下拆分free+Premium
免费：2，16",17,Premium candidate,"已更新素材
2:17",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,decorative-statement-lace-1,Decorative statement lace 1,romantic-deco,"素材包下拆分free+Premium
免费：2，10，12",16,Premium candidate,"已更新素材；旧 item 17–20 仅供旧作品解析
3:16",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,zhenzhi01,Zhenzhi01,romantic-deco,"素材包下拆分free+Premium
免费：2，4，6，7，9，10，18，23",24,Premium candidate,"已更新素材
4，5，16基本重复，需删除：5，16
8:24",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,pixel-ascii,Pixel and ASCII,digital-y2k,"素材包下拆分free+Premium
免费：5-1，9-1，7-1，6-1，5，10",19,Free candidate,7:19,基础纸张/每种风格的试用样本,generated/first-release-product-catalog.v1.json
material-pack,digital-ui,Digital UI,digital-y2k,"素材包下拆分free+Premium
免费：1，2，3，7，10，15，16，17，18，19，20，21，22，23，25，26，28，29，30，32",33,Premium candidate,20:33,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,digital-ui-1,Digital UI 1,digital-y2k,"素材包下拆分free+Premium
免费：5，6，11，12，14",19,Premium candidate,5:19,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,chrome-symbols,Chrome symbols,digital-y2k,"素材包下拆分free+Premium
免费：1，4，3，12，15，20",20,Premium candidate,6:20,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,handmade-cutout-type,Handmade cutout type,fan-moodboard,"素材包下拆分free+Premium
免费：2，5，8",9,Premium candidate,"group：Visual Foundation
3:9",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,cutout-frames-cropping-accents,Cutout frames cropping accents,fan-moodboard,"素材包下拆分free+Premium
免费：3_副本，5_副本，6，7，8，Cutout Frames & Cropping Accents 3",16,Premium candidate,6:16,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,fan-edit-highlights,Fan edit highlights,fan-moodboard,"素材包下拆分free+Premium
免费：2，4_副本，5，7，8，9",16,Free candidate,6:16,基础纸张/每种风格的试用样本,generated/first-release-product-catalog.v1.json
material-pack,experimental-print-registration-fragments,Experimental print registration fragments,fan-moodboard,"素材包下拆分free+Premium
免费：4，7，8，9，10，11，12，14，15",20,Premium candidate,"group：Indie Zine
9:20",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,editorial-connectors-index-marks,Editorial connectors index marks,digital-y2k,"素材包下拆分free+Premium
免费：3，4，6，8，10，11，14，15，17，18，20，25，27，28，29，3，10，31，32，33，35，36，37，40，41，42，43，44，45，46，47，48，50，51，53，54，55，56",57,Premium candidate,"group：Visual Foundation
38:57",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,micro-editorial-1,Micro editorial 1,digital-y2k,Premium,26,Premium candidate,group：Visual Foundation,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,structural-plastic-beads-mesh,Structural plastic beads mesh,material-remix,"素材包下拆分free+Premium
免费：3_副本、4_副本、4、8",12,Free candidate,"已删除重复项 3、6
4:12",基础纸张/每种风格的试用样本,generated/first-release-product-catalog.v1.json
material-pack,beads-structural-units-1,Beads structural units 1,material-remix,"素材包下拆分free+Premium
免费：2，5，6，8，10，16，25，26，27，28，29，36，10，31，32，33，34，38，40",40,Premium candidate,19:40,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,fabric-fiber-thread,Fabric fiber thread,material-remix,"素材包下拆分free+Premium
免费：1，4，9，14，19，21，6，10，17",25,Premium candidate,9:25,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,paper-01,Paper 01,untagged,free,4,Free candidate,group：Visual Foundation,基础纸张/每种风格的试用样本,generated/first-release-product-catalog.v1.json
material-pack,paper-02,Paper 02,untagged,free,4,Free candidate,group：Visual Foundation,基础纸张/每种风格的试用样本,generated/first-release-product-catalog.v1.json
material-pack,paper-03,Paper 03,untagged,free,4,Free candidate,group：Visual Foundation,基础纸张/每种风格的试用样本,generated/first-release-product-catalog.v1.json
material-pack,paper-04,Paper 04,untagged,free,4,Free candidate,group：Visual Foundation,基础纸张/每种风格的试用样本,generated/first-release-product-catalog.v1.json
material-pack,paper-05,Paper 05,untagged,free,4,Free candidate,group：Visual Foundation,基础纸张/每种风格的试用样本,generated/first-release-product-catalog.v1.json
material-pack,biantie-01,Biantie 01,untagged,"素材包下拆分free+Premium
免费：1，4，8，9，10，11，19，20，25，26，27，28",28,Premium candidate,"group：Visual Foundation
边缘有些残留，后续可优化
12:28",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,blingshuijing,Blingshuijing,untagged,"素材包下拆分free+Premium
免费：3，4，7，12，18，24，2",24,Premium candidate,"group：Visual Foundation
7:24",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,blue-01,Blue 01,soft-archive,"素材包下拆分free+Premium
免费：4，7，8，9，16，17，10，9，22，30",32,Premium candidate,10:32,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,blue-02,Blue 02,soft-archive,"素材包下拆分free+Premium
免费：9，19，27，34，35，1，6",35,Premium candidate,7:35,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,cat-01,Cat 01,soft-archive,"素材包下拆分free+Premium
免费：2，4，6，10，5，19，23",25,Premium candidate,"分割有问题需更新：23
7:25",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,caise-01,Caise 01,play-pop,"素材包下拆分free+Premium
免费：5，6，11，12，15，18",21,Premium candidate,6:21,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,caisebodian,Caisebodian,play-pop,"素材包下拆分free+Premium
免费：4，5，7，12，13，18，19，20",22,Premium candidate,8:22,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,fugu-01,Fugu 01,soft-archive,"素材包下拆分free+Premium
免费：4，8，12，14，17",20,Premium candidate,5:20,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,fugu-02,Fugu 02,digital-y2k,"素材包下拆分free+Premium
免费：2，6，14，16，17",18,Premium candidate,"Group :Romantic Deco
5:18",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,fugu-03,Fugu 03,soft-archive,"素材包下拆分free+Premium
免费：3，4，6，·3，10，14，17",21,Premium candidate,"group：Visual Foundation
7:21",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,fugu-04,Fugu 04,digital-y2k,"素材包下拆分free+Premium
免费：4，7，16，19，22，24，29，31，32",32,Premium candidate,9:32,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,jiazi,Jiazi,untagged,"素材包下拆分free+Premium
免费：5，8，11，18，19，20，21，27，30，37",37,Premium candidate,"group：Visual Foundation
10:37",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,jieri-01,Jieri 01,untagged,"素材包下拆分free+Premium
免费：1，2，3，4，5，6，7，8，9，10，45，46，47，48，50，51，52，58，59，66，69，80，82，87，107，108",75,Premium candidate,"group：Visual Foundation
已删除重复项 53–57
26:75",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,lanzi-01,Lanzi 01,soft-archive,"素材包下拆分free+Premium
免费：2，3，6，9，10",12,Premium candidate,5:12,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,leisi,Leisi,romantic-deco,"素材包下拆分free+Premium
免费：4，6，13，16",21,Premium candidate,4:21,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,sanguangtiezhi-01,Sanguangtiezhi 01,digital-y2k,"素材包下拆分free+Premium
免费：4，13，15，17，18，20，29，31，32，38，39，40",40,Premium candidate,12:40,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,sanguangtiezhi-02,Sanguangtiezhi 02,digital-y2k,"素材包下拆分free+Premium
免费：2，6，9，11，14，19，27，30，43",40,Premium candidate,"已删除重复项 5、20、40
9:40",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,sanjiao,Sanjiao,untagged,"素材包下拆分free+Premium
免费：9，10，14，16，17",17,Premium candidate,"group：Visual Foundation
5:17",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,taocitroy-01,Taocitroy 01,soft-archive,"素材包下拆分free+Premium
免费：7，10，16，23",20,Premium candidate,"分割有问题需更新：6
4:20",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,troy-01,Troy 01,soft-archive,"素材包下拆分free+Premium
免费：6，16，17，19，22，32，33，42，46，50",51,Premium candidate,10:51,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,xiangkuang,Xiangkuang,untagged,"素材包下拆分free+Premium
免费：1，4，5，7，10",17,Premium candidate,"group：Visual Foundation
5:17",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,xiangkuang-02,Xiangkuang 02,digital-y2k,"素材包下拆分free+Premium
免费：3，4，7，9，12",17,Premium candidate,"已更新素材；旧 item 18 仅供旧作品解析
5:17",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,yinheart,Yinheart,digital-y2k,"素材包下拆分free+Premium
免费：2，3，6，7，8",12,Premium candidate,5:12,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,youpiao-01,Youpiao 01,soft-archive,"素材包下拆分free+Premium
免费：2，8，10，14，17，22",25,Premium candidate,6:25,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,youpiao-02,Youpiao 02,soft-archive,"素材包下拆分free+Premium
免费：3，10，15，16，19",21,Premium candidate,5:21,完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
material-pack,zhiganxingxing,Zhiganxingxing,untagged,"素材包下拆分free+Premium
免费：1，3，4，7，8",19,Premium candidate,"group：Visual Foundation
4和14重复，已删除14
5:19",完整风格库候选；需核查视觉质量和授权,generated/first-release-product-catalog.v1.json
internal-pack,template-previews,Template previews,internal,固定边界,10,Not saleable,,模板内部预览/固定资产，不作为素材包商品,generated/first-release-product-catalog.v1.json
internal-pack,template-assets,Template fixed assets,internal,固定边界,18,Not saleable,,模板内部预览/固定资产，不作为素材包商品,generated/first-release-product-catalog.v1.json
procedural-pack,local-background-paper-materials,Basic paper,procedural,Free,,Free candidate,,基础本地创作工具,packages/asset-system/src/index.ts
procedural-pack,polka-paper-materials,Polka paper,procedural,Free,,Free candidate,,基础本地创作工具,packages/asset-system/src/index.ts
procedural-pack,basic-shape-materials,Basic shapes,procedural,Free,,Free candidate,,基础本地创作工具,packages/asset-system/src/index.ts
procedural-pack,material-basic-shape-materials,Material shapes,procedural,需确认,,Premium candidate,,材质增强的造型素材,packages/asset-system/src/index.ts
style-kit,play-pop,play-pop,play-pop,需确认,4,Premium full kit candidate,,完整系列收费；Free 保留样本包,generated/first-release-product-catalog.v1.json
style-kit,soft-archive,soft-archive,soft-archive,需确认,12,Premium full kit candidate,,完整系列收费；Free 保留样本包,generated/first-release-product-catalog.v1.json
style-kit,romantic-deco,romantic-deco,romantic-deco,需确认,7,Premium full kit candidate,,完整系列收费；Free 保留样本包,generated/first-release-product-catalog.v1.json
style-kit,digital-y2k,digital-y2k,digital-y2k,需确认,12,Premium full kit candidate,,完整系列收费；Free 保留样本包,generated/first-release-product-catalog.v1.json
style-kit,fan-moodboard,fan-moodboard,fan-moodboard,需确认,4,Premium full kit candidate,,完整系列收费；Free 保留样本包,generated/first-release-product-catalog.v1.json
style-kit,material-remix,material-remix,material-remix,需确认,3,Premium full kit candidate,,完整系列收费；Free 保留样本包,generated/first-release-product-catalog.v1.json
font,system,System,system,Free,1,Free candidate,,系统字体是基础文字能力,packages/asset-system/src/index.ts
font,codystar,Codystar,font,Free,2,Premium candidate,,装饰字体及变体候选；需核查字体许可,miniprogram-spike/miniprogram/config/font-table.js
font,gemini,Gemini,font,Premium ,1,Free candidate,,英文字体与 CJK 的基本选择,miniprogram-spike/miniprogram/config/font-table.js
font,kelsi,Kelsi,font,Free,2,Premium candidate,,装饰字体及变体候选；需核查字体许可,miniprogram-spike/miniprogram/config/font-table.js
font,little_kids,Little Kids,font,Free,1,Premium candidate,,装饰字体及变体候选；需核查字体许可,miniprogram-spike/miniprogram/config/font-table.js
font,melted_ideas,Melted Ideas,font,Free,1,Premium candidate,,装饰字体及变体候选；需核查字体许可,miniprogram-spike/miniprogram/config/font-table.js
font,mountains_christmas,Mountains,font,Premium ,2,Premium candidate,,装饰字体及变体候选；需核查字体许可,miniprogram-spike/miniprogram/config/font-table.js
font,sweet_dreams,Sweet Dreams,font,Free,1,Premium candidate,,装饰字体及变体候选；需核查字体许可,miniprogram-spike/miniprogram/config/font-table.js
font,kose,小濑字体,font,Free,1,Free candidate,,英文字体与 CJK 的基本选择,miniprogram-spike/miniprogram/config/font-table.js
font,xinyugong,新愚公迷茫体,font,Free,1,Premium candidate,,装饰字体及变体候选；需核查字体许可,miniprogram-spike/miniprogram/config/font-table.js
font,kurewa_gothic,苦累娃圆体,font,Premium ,1,Free candidate,,英文字体与 CJK 的基本选择,miniprogram-spike/miniprogram/config/font-table.js
font,qingsong_handwriting,轻松手写体,font,Free,1,Premium candidate,,装饰字体及变体候选；需核查字体许可,miniprogram-spike/miniprogram/config/font-table.js
effect,light.shadow,Shadow,effect,Free,,Free candidate,,基础图层调整,packages/editor-core/src/effects.ts
effect,edge.outline,Outline,effect,Free,,Free candidate,,基础图层调整,packages/editor-core/src/effects.ts
effect,paper.torn-edge,Torn edge,effect,Free,,Premium candidate,,风格化效果候选；需验收效果质量,packages/editor-core/src/effects.ts
effect,shape.round-corners,Corners,effect,Free,,Free candidate,,基础图层调整,packages/editor-core/src/effects.ts
effect,attachment.tape,Attached,effect,Free,,Premium candidate,,风格化效果候选；需验收效果质量,packages/editor-core/src/effects.ts
effect,paper.float,Floating,effect,Free,,Premium candidate,,风格化效果候选；需验收效果质量,packages/editor-core/src/effects.ts
effect,frame.lace-center,Lace frame,effect,Free,,Premium candidate,确认是否使用付费素材,风格化效果候选；需验收效果质量,packages/editor-core/src/effects.ts
effect,frame.foil-center,Foil frame,effect,Free,,Premium candidate,确认是否使用付费素材,风格化效果候选；需验收效果质量,packages/editor-core/src/effects.ts
effect,material.grain,Paper grain,effect,去掉该项,,Premium candidate,去掉该项,风格化效果候选；需验收效果质量,packages/editor-core/src/effects.ts
effect,print.cyanotype,Cyanotype,effect,Free,,Premium candidate,,风格化效果候选；需验收效果质量,packages/editor-core/src/effects.ts
effect,print.screen,Screen print,effect,Free,,Premium candidate,,风格化效果候选；需验收效果质量,packages/editor-core/src/effects.ts
effect,print.riso,Riso print,effect,Free,,Premium candidate,,风格化效果候选；需验收效果质量,packages/editor-core/src/effects.ts
effect,art.botanical-plate,Botanical plate,effect,Premium ,,Premium candidate,,风格化效果候选；需验收效果质量,packages/editor-core/src/effects.ts
effect,art.pixel-embroidery,Pixel embroidery,effect,Premium ,,Premium candidate,,风格化效果候选；需验收效果质量,packages/editor-core/src/effects.ts
effect,art.matisse-cutout,Matisse cutout,effect,Premium ,,Premium candidate,,风格化效果候选；需验收效果质量,packages/editor-core/src/effects.ts
brush,brush://builtin/plain,plain,brush,Free,,Free candidate,,基础笔触,packages/asset-system/src/brushes.ts
brush,brush://builtin/crayon,crayon,brush,Free,,Free candidate,,基础笔触,packages/asset-system/src/brushes.ts
brush,brush://builtin/marker,marker,brush,Free,,Free candidate,,基础笔触,packages/asset-system/src/brushes.ts
brush,brush://builtin/stitch,stitch,brush,暂时Free,,Premium candidate,还不是实际材质效果free.如果提供了实际材质效果Premium,手作装饰笔触候选,packages/asset-system/src/brushes.ts
brush,brush://builtin/knit,knit,brush,暂时Free,,Premium candidate,,手作装饰笔触候选,packages/asset-system/src/brushes.ts
brush,brush://builtin/beads,beads,brush,暂时Free,,Premium candidate,,手作装饰笔触候选,packages/asset-system/src/brushes.ts
brush,brush://builtin/lace,lace,brush,暂时Free,,Premium candidate,,手作装饰笔触候选,packages/asset-system/src/brushes.ts
brush,brush://builtin/bow,bow,brush,暂时Free,,Premium candidate,,手作装饰笔触候选,packages/asset-system/src/brushes.ts
export,export.standard,Current PNG export,"PNG, max logical edge 2048",Free,1,Free candidate,,当前唯一实际导出路径；正常导出须可用,apps/mobile/App.tsx
export,export.high-resolution,High resolution,unimplemented,待规格,0,Future Premium candidate,,尚无独立高分辨率导出实现或规格,apps/mobile/src/entitlements/index.ts
export,export.no-watermark,No watermark,unimplemented,固定边界,0,Do not gate now,,当前导出未见水印处理；不得把现有无水印 PNG 变收费,apps/mobile/App.tsx
