kind,id,name,group,count,candidate,reason,source,review
"basic-layout","template://journalcollage/layout-nine-grid","nine-grid","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"basic-layout","template://journalcollage/layout-three-stack","three-stack","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"basic-layout","template://journalcollage/layout-heart-frame","heart-frame","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"basic-layout","template://journalcollage/layout-circle-frame","circle-frame","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"basic-layout","template://journalcollage/layout-star-frame","star-frame","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"basic-layout","template://journalcollage/layout-heart-mosaic","heart-mosaic","basic-layout","","Free candidate","无固定装饰及网络依赖的基础构图","apps/mobile/src/basicLayouts.ts","低争议"
"material-pack","candy-shapes","Candy Shapes","play-pop","25","Free candidate","基础纸张/每种风格的试用样本","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","playful-doodles","Playful Doodles","play-pop","21","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","soft-archive-blue","Soft archive blue","soft-archive","49","Free candidate","基础纸张/每种风格的试用样本","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","jiaodai","Jiaodai","soft-archive","42","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","editorial-everyday-labels","Editorial everyday labels","visual-foundation","24","Free candidate","基础纸张/每种风格的试用样本","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","romantic-deco-lace-frame-1","Romantic Deco lace frame 1","romantic-deco","12","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","hudiejie","Hudiejie","romantic-deco","24","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","essential-lace-trims","Essential lace trims","romantic-deco","16","Free candidate","基础纸张/每种风格的试用样本","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","decorative-statement-lace","Decorative statement lace","romantic-deco","16","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","decorative-statement-lace-1","Decorative statement lace 1","romantic-deco","20","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","zhenzhi01","Zhenzhi01","romantic-deco","24","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","pixel-ascii","Pixel and ASCII","digital-y2k","19","Free candidate","基础纸张/每种风格的试用样本","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","digital-ui","Digital UI","digital-y2k","33","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","digital-ui-1","Digital UI 1","digital-y2k","19","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","chrome-symbols","Chrome symbols","digital-y2k","20","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","handmade-cutout-type","Handmade cutout type","fan-moodboard","9","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","cutout-frames-cropping-accents","Cutout frames cropping accents","fan-moodboard","16","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","fan-edit-highlights","Fan edit highlights","fan-moodboard","16","Free candidate","基础纸张/每种风格的试用样本","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","experimental-print-registration-fragments","Experimental print registration fragments","fan-moodboard","20","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","editorial-connectors-index-marks","Editorial connectors index marks","digital-y2k","57","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","micro-editorial-1","Micro editorial 1","digital-y2k","26","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","structural-plastic-beads-mesh","Structural plastic beads mesh","material-remix","14","Free candidate","基础纸张/每种风格的试用样本","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","beads-structural-units-1","Beads structural units 1","material-remix","40","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","fabric-fiber-thread","Fabric fiber thread","material-remix","25","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","paper-01","Paper 01","untagged","4","Free candidate","基础纸张/每种风格的试用样本","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","paper-02","Paper 02","untagged","4","Free candidate","基础纸张/每种风格的试用样本","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","paper-03","Paper 03","untagged","4","Free candidate","基础纸张/每种风格的试用样本","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","paper-04","Paper 04","untagged","4","Free candidate","基础纸张/每种风格的试用样本","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","paper-05","Paper 05","untagged","4","Free candidate","基础纸张/每种风格的试用样本","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","biantie-01","Biantie 01","untagged","28","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","blingshuijing","Blingshuijing","untagged","24","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","blue-01","Blue 01","soft-archive","32","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","blue-02","Blue 02","soft-archive","35","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","cat-01","Cat 01","soft-archive","25","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","caise-01","Caise 01","play-pop","21","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","caisebodian","Caisebodian","play-pop","22","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","fugu-01","Fugu 01","soft-archive","20","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","fugu-02","Fugu 02","digital-y2k","18","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","fugu-03","Fugu 03","soft-archive","21","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","fugu-04","Fugu 04","digital-y2k","32","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","jiazi","Jiazi","untagged","37","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","jieri-01","Jieri 01","untagged","80","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","lanzi-01","Lanzi 01","soft-archive","12","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","leisi","Leisi","romantic-deco","21","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","sanguangtiezhi-01","Sanguangtiezhi 01","digital-y2k","40","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","sanguangtiezhi-02","Sanguangtiezhi 02","digital-y2k","43","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","sanjiao","Sanjiao","untagged","17","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","taocitroy-01","Taocitroy 01","soft-archive","20","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","troy-01","Troy 01","soft-archive","51","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","xiangkuang","Xiangkuang","untagged","17","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","xiangkuang-02","Xiangkuang 02","digital-y2k","18","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","yinheart","Yinheart","digital-y2k","12","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","youpiao-01","Youpiao 01","soft-archive","25","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","youpiao-02","Youpiao 02","soft-archive","21","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"material-pack","zhiganxingxing","Zhiganxingxing","untagged","20","Premium candidate","完整风格库候选；需核查视觉质量和授权","generated/first-release-product-catalog.v1.json","需确认"
"internal-pack","template-previews","Template previews","internal","10","Not saleable","模板内部预览/固定资产，不作为素材包商品","generated/first-release-product-catalog.v1.json","固定边界"
"internal-pack","template-assets","Template fixed assets","internal","18","Not saleable","模板内部预览/固定资产，不作为素材包商品","generated/first-release-product-catalog.v1.json","固定边界"
"procedural-pack","local-background-paper-materials","Basic paper","procedural","","Free candidate","基础本地创作工具","packages/asset-system/src/index.ts","需确认"
"procedural-pack","polka-paper-materials","Polka paper","procedural","","Free candidate","基础本地创作工具","packages/asset-system/src/index.ts","需确认"
"procedural-pack","basic-shape-materials","Basic shapes","procedural","","Free candidate","基础本地创作工具","packages/asset-system/src/index.ts","需确认"
"procedural-pack","material-basic-shape-materials","Material shapes","procedural","","Premium candidate","材质增强的造型素材","packages/asset-system/src/index.ts","需确认"
"style-kit","play-pop","play-pop","play-pop","4","Premium full kit candidate","完整系列收费；Free 保留样本包","generated/first-release-product-catalog.v1.json","需确认"
"style-kit","soft-archive","soft-archive","soft-archive","12","Premium full kit candidate","完整系列收费；Free 保留样本包","generated/first-release-product-catalog.v1.json","需确认"
"style-kit","romantic-deco","romantic-deco","romantic-deco","7","Premium full kit candidate","完整系列收费；Free 保留样本包","generated/first-release-product-catalog.v1.json","需确认"
"style-kit","digital-y2k","digital-y2k","digital-y2k","12","Premium full kit candidate","完整系列收费；Free 保留样本包","generated/first-release-product-catalog.v1.json","需确认"
"style-kit","fan-moodboard","fan-moodboard","fan-moodboard","4","Premium full kit candidate","完整系列收费；Free 保留样本包","generated/first-release-product-catalog.v1.json","需确认"
"style-kit","material-remix","material-remix","material-remix","3","Premium full kit candidate","完整系列收费；Free 保留样本包","generated/first-release-product-catalog.v1.json","需确认"
"font","system","System","system","1","Free candidate","系统字体是基础文字能力","packages/asset-system/src/index.ts","低争议"
"font","codystar","Codystar","font","2","Premium candidate","装饰字体及变体候选；需核查字体许可","miniprogram-spike/miniprogram/config/font-table.js","需确认"
"font","gemini","Gemini","font","1","Free candidate","英文字体与 CJK 的基本选择","miniprogram-spike/miniprogram/config/font-table.js","需确认"
"font","kelsi","Kelsi","font","2","Premium candidate","装饰字体及变体候选；需核查字体许可","miniprogram-spike/miniprogram/config/font-table.js","需确认"
"font","little_kids","Little Kids","font","1","Premium candidate","装饰字体及变体候选；需核查字体许可","miniprogram-spike/miniprogram/config/font-table.js","需确认"
"font","melted_ideas","Melted Ideas","font","1","Premium candidate","装饰字体及变体候选；需核查字体许可","miniprogram-spike/miniprogram/config/font-table.js","需确认"
"font","mountains_christmas","Mountains","font","2","Premium candidate","装饰字体及变体候选；需核查字体许可","miniprogram-spike/miniprogram/config/font-table.js","需确认"
"font","sweet_dreams","Sweet Dreams","font","1","Premium candidate","装饰字体及变体候选；需核查字体许可","miniprogram-spike/miniprogram/config/font-table.js","需确认"
"font","kose","小濑字体","font","1","Free candidate","英文字体与 CJK 的基本选择","miniprogram-spike/miniprogram/config/font-table.js","需确认"
"font","xinyugong","新愚公迷茫体","font","1","Premium candidate","装饰字体及变体候选；需核查字体许可","miniprogram-spike/miniprogram/config/font-table.js","需确认"
"font","kurewa_gothic","苦累娃圆体","font","1","Free candidate","英文字体与 CJK 的基本选择","miniprogram-spike/miniprogram/config/font-table.js","需确认"
"font","qingsong_handwriting","轻松手写体","font","1","Premium candidate","装饰字体及变体候选；需核查字体许可","miniprogram-spike/miniprogram/config/font-table.js","需确认"
"effect","light.shadow","Shadow","effect","","Free candidate","基础图层调整","packages/editor-core/src/effects.ts","需确认"
"effect","edge.outline","Outline","effect","","Free candidate","基础图层调整","packages/editor-core/src/effects.ts","需确认"
"effect","paper.torn-edge","Torn edge","effect","","Premium candidate","风格化效果候选；需验收效果质量","packages/editor-core/src/effects.ts","需确认"
"effect","shape.round-corners","Corners","effect","","Free candidate","基础图层调整","packages/editor-core/src/effects.ts","需确认"
"effect","attachment.tape","Attached","effect","","Premium candidate","风格化效果候选；需验收效果质量","packages/editor-core/src/effects.ts","需确认"
"effect","paper.float","Floating","effect","","Premium candidate","风格化效果候选；需验收效果质量","packages/editor-core/src/effects.ts","需确认"
"effect","frame.lace-center","Lace frame","effect","","Premium candidate","风格化效果候选；需验收效果质量","packages/editor-core/src/effects.ts","需确认"
"effect","frame.foil-center","Foil frame","effect","","Premium candidate","风格化效果候选；需验收效果质量","packages/editor-core/src/effects.ts","需确认"
"effect","material.grain","Paper grain","effect","","Premium candidate","风格化效果候选；需验收效果质量","packages/editor-core/src/effects.ts","需确认"
"effect","print.cyanotype","Cyanotype","effect","","Premium candidate","风格化效果候选；需验收效果质量","packages/editor-core/src/effects.ts","需确认"
"effect","print.screen","Screen print","effect","","Premium candidate","风格化效果候选；需验收效果质量","packages/editor-core/src/effects.ts","需确认"
"effect","print.riso","Riso print","effect","","Premium candidate","风格化效果候选；需验收效果质量","packages/editor-core/src/effects.ts","需确认"
"effect","art.botanical-plate","Botanical plate","effect","","Premium candidate","风格化效果候选；需验收效果质量","packages/editor-core/src/effects.ts","需确认"
"effect","art.pixel-embroidery","Pixel embroidery","effect","","Premium candidate","风格化效果候选；需验收效果质量","packages/editor-core/src/effects.ts","需确认"
"effect","art.matisse-cutout","Matisse cutout","effect","","Premium candidate","风格化效果候选；需验收效果质量","packages/editor-core/src/effects.ts","需确认"
"brush","brush://builtin/plain","plain","brush","","Free candidate","基础笔触","packages/asset-system/src/brushes.ts","需确认"
"brush","brush://builtin/crayon","crayon","brush","","Free candidate","基础笔触","packages/asset-system/src/brushes.ts","需确认"
"brush","brush://builtin/marker","marker","brush","","Free candidate","基础笔触","packages/asset-system/src/brushes.ts","需确认"
"brush","brush://builtin/stitch","stitch","brush","","Premium candidate","手作装饰笔触候选","packages/asset-system/src/brushes.ts","需确认"
"brush","brush://builtin/knit","knit","brush","","Premium candidate","手作装饰笔触候选","packages/asset-system/src/brushes.ts","需确认"
"brush","brush://builtin/beads","beads","brush","","Premium candidate","手作装饰笔触候选","packages/asset-system/src/brushes.ts","需确认"
"brush","brush://builtin/lace","lace","brush","","Premium candidate","手作装饰笔触候选","packages/asset-system/src/brushes.ts","需确认"
"brush","brush://builtin/bow","bow","brush","","Premium candidate","手作装饰笔触候选","packages/asset-system/src/brushes.ts","需确认"
"export","export.standard","Current PNG export","PNG, max logical edge 2048","1","Free candidate","当前唯一实际导出路径；正常导出须可用","apps/mobile/App.tsx","固定边界"
"export","export.high-resolution","High resolution","unimplemented","0","Future Premium candidate","尚无独立高分辨率导出实现或规格","apps/mobile/src/entitlements/index.ts","待规格"
"export","export.no-watermark","No watermark","unimplemented","0","Do not gate now","当前导出未见水印处理；不得把现有无水印 PNG 变收费","apps/mobile/App.tsx","固定边界"
